FILID,FILPNID,FILPNPartNumber,FILFilePath,FILFileName,FILView,FILNotes
26,7,,,"Z:\parts\90000011\Vishay-5063JD-Spacemiser.pdf",0,"Datasheet"
28,6,,,"Z:\parts\50000001\50000001_DSN-01.pdf",0,"Design Output - PDF"
29,6,,,"Z:\parts\50000001\50000001_DSN-01.odt",0,"Design Source"
30,3,,,"Z:\parts\20000001\20000001_WI-01.pdf",0,"Work Instruction - PDF"
31,3,,,"Z:\parts\20000001\20000001_WI-01.odt",0,"Work Instruction - Source"
32,15,,,"Z:\parts\20000002\20000002_MA-00.pdf",0,"Master Drawing - PDF"
33,15,,,"Z:\parts\20000002\20000002_CAM-01.pdf",0,"CAM plot"
34,15,,,"Z:\parts\20000002\20000002_CAM-01.zip",0,"CAM archive"
35,15,,,"Z:\parts\20000002\20000002_MA-00.odg",0,"Master Drawing - Source"
36,2,,,"Z:\parts\20000003\20000003_WI-00.pdf",0,"Work Instruction - PDF"
37,2,,,"Z:\parts\20000003\20000003_ASSY-00.odg",0,"Assembly drawing - Source"
38,2,,,"Z:\parts\20000003\20000003_ASSY-00.pdf",0,"Assembly drawing - PDF"
39,2,,,"Z:\parts\20000003\20000003_DSN-01.zip",0,"Design archive"
40,2,,,"Z:\parts\20000003\20000003_SCH-01.pdf",0,"Schematic"
41,2,,,"Z:\parts\20000003\20000003_WI-00.odt",0,"Work Instruction - Source"
42,20,,,"Z:\parts\10000001\10000001_ART-00.odg",0,"Artwork source"
43,20,,,"Z:\parts\10000001\10000001_ART-00.pdf",0,"Artwork PDF"
44,20,,,"Z:\parts\10000001\10000001_FAB-00.odg",0,"Fab drawing source"
46,19,,,"Z:\parts\10000003\10000003_PBS-00.odg",0,"Product Breakdown Structure diagram source"
47,19,,,"Z:\parts\10000003\10000003_PBS-00.pdf",0,"Product Breakdown Structure diagram"
48,19,,,"Z:\parts\10000003\10000003_WI-00.odt",0,"Work Instruction source"
49,19,,,"Z:\parts\10000003\10000003_WI-00.pdf",0,"Work Instruction PDF"
50,1,,,"Z:\parts\20000004\20000004_ASSY-00.odg",0,"Assembly drawing - source"
51,1,,,"Z:\parts\20000004\20000004_ASSY-00.pdf",0,"Assemby drawing - PDF"
52,22,,,"Z:\parts\80000001\Hammond-9c2pg42-43.pdf",0,"Catalogue page"
53,22,,,"Z:\parts\80000001\Hammond-1590T.dwg",0,"Datasheet drawing"
54,22,,,"Z:\parts\80000001\Hammond-1590T.pdf",0,"Datasheet"
55,27,,,"Z:\parts\80000002\Keystone-M55-prod31.pdf",0,"Datasheet"
56,28,,,"Z:\parts\80000003\Machinepancombo.pdf",0,"Datasheet"
57,29,,,"Z:\parts\80000004\TYCO-ENG_CD_5205820_O.pdf",0,"Datasheet"
58,21,,,"Z:\parts\80000005\IS-435.PDF",0,"Application Note (folding instructions)"
59,21,,,"Z:\parts\80000005\MSDS-MS-4040.pdf",0,"MSDS"
60,21,,,"Z:\parts\80000005\Quote-ULINE-S-463.pdf",0,"Quote"
61,21,,,"Z:\parts\80000005\ULINE-S463.pdf",0,"Catalogue"
62,26,,,"Z:\parts\80000007\INT LWZ 004.jpg",0,"Photograph"
63,4,,,"Z:\parts\90000013\BICC-General-Carol-Hookup-Wire.pdf",0,"Datasheet"
64,30,,,"Z:\parts\90000014\1110104001.pdf",0,"Datasheet"
65,31,,,"Z:\parts\90000015\1110107001.pdf",0,"Datasheet"
66,23,,,"Z:\parts\90000016\ENG_CD_330648_F1.pdf",0,"Datasheet"
67,24,,,"Z:\parts\90000017\Hookup.pdf",0,"Datasheet"
68,25,,,"Z:\parts\90000018\Hookup.pdf",0,"Datasheet"
69,6,,,"Z:\parts\50000001\50000001_DSN-01-graphics.zip",0,"Design Source (graphic files)"
27,5,,,"Z:\parts\90000012\Maplin-crystal-earph-LB25C.pdf",0,"Datasheet"
