FILID,FILPNID,FILPNPartNumber,FILFilePath,FILFileName,FILView,FILNotes
31,3,,,"D:\vault\parts\20000001\20000001_WI-01.odt",0,"Work Instruction - Source"
32,15,,,"D:\vault\parts\20000002\20000002_MA-00.pdf",0,"Master Drawing - PDF"
33,15,,,"D:\vault\parts\20000002\20000002_CAM-01.pdf",0,"CAM plot"
34,15,,,"D:\vault\parts\20000002\20000002_CAM-01.zip",0,"CAM archive"
35,15,,,"D:\vault\parts\20000002\20000002_MA-00.odg",0,"Master Drawing - Source"
36,2,,,"D:\vault\parts\20000003\20000003_WI-01.pdf",0,"Work Instruction - PDF"
37,2,,,"D:\vault\parts\20000003\20000003_ASSY-01.odg",0,"Assembly drawing - Source"
38,2,,,"D:\vault\parts\20000003\20000003_ASSY-01.pdf",0,"Assembly drawing - PDF"
39,2,,,"D:\vault\parts\20000003\20000003_DSN-01.zip",0,"Design archive"
40,2,,,"D:\vault\parts\20000003\20000003_SCH-01.pdf",0,"Schematic"
41,2,,,"D:\vault\parts\20000003\20000003_WI-01.odt",0,"Work Instruction - Source"
42,20,,,"D:\vault\parts\10000002\10000002_ART-01.odg",0,"Artwork source"
43,20,,,"D:\vault\parts\10000002\10000002_ART-01.pdf",0,"Artwork PDF"
44,20,,,"D:\vault\parts\10000002\10000002_FAB-01.odg",0,"Fab source"
45,20,,,"D:\vault\parts\10000002\10000002_FAB-01.pdf",0,"Fab PDF"
46,19,,,"D:\vault\parts\10000003\10000003_PBS-00.odg",0,"Product Breakdown Structure diagram source"
47,19,,,"D:\vault\parts\10000003\10000003_PBS-00.pdf",0,"Product Breakdown Structure diagram PDF"
48,19,,,"D:\vault\parts\10000003\10000003_WI-00.odt",0,"Work Instruction source"
49,19,,,"D:\vault\parts\10000003\10000003_WI-00.pdf",0,"Work Instruction PDF"
50,1,,,"D:\vault\parts\10000001\10000001_ASSY-01.odg",0,"Assembly drawing source"
51,1,,,"D:\vault\parts\10000001\10000001_ASSY-01.pdf",0,"Assembly drawing PDF"
52,22,,,"D:\vault\parts\80000001\Hammond-9c2pg42-43.pdf",0,"Application note"
53,22,,,"D:\vault\parts\80000001\Hammond-1590T.dwg",0,"Datasheet drawing"
54,22,,,"D:\vault\parts\80000001\Hammond-1590T.pdf",0,"Datasheet"
55,27,,,"D:\vault\parts\80000002\Keystone-M55-prod31.pdf",0,"Datasheet"
56,28,,,"D:\vault\parts\80000003\Machinepancombo.pdf",0,"Datasheet"
57,29,,,"D:\vault\parts\80000004\TYCO-ENG_CD_5205820_O.pdf",0,"Datasheet"
58,21,,,"D:\vault\parts\80000005\IS-435.PDF",0,"Application"
59,21,,,"D:\vault\parts\80000005\MSDS-MS-4040.pdf",0,"MSDS"
60,21,,,"D:\vault\parts\80000005\Quote-ULINE-S-463.pdf",0,"Quote"
61,21,,,"D:\vault\parts\80000005\ULINE-S463.pdf",0,"Catalogue"
62,32,,,"D:\vault\parts\80000006\Keystone-M55-prod31.pdf",0,"Datasheet"
63,26,,,"D:\vault\parts\80000007\INT LWZ 004.jpg",0,"Drawing"
64,4,,,"D:\vault\parts\90000013\BICC-General-Carol-Hookup-Wire.pdf",0,"Datasheet"
65,30,,,"D:\vault\parts\90000014\1110104001.pdf",0,"Datasheet"
66,31,,,"D:\vault\parts\90000015\1110107001.pdf",0,"Datasheet"
67,23,,,"D:\vault\parts\90000016\ENG_CD_330648_F1.pdf",0,"Datasheet"
68,24,,,"D:\vault\parts\90000017\Hookup.pdf",0,"Datasheet"
69,25,,,"D:\vault\parts\90000018\Hookup.pdf",0,"Datasheet"
70,6,,,"D:\vault\parts\50000001\50000001_DSN-01-graphics.zip",0,"Design Source (graphic files)"
